Institution,State,No. of visas revoked,Source link
St. Louis University,Missouri,1,"<a  href=""https://www.stltoday.com/news/local/education/article_62d1563d-6d95-4d1d-951d-4447c528aa71.html"">Click  here</a>"
University of Missouri,Missouri,unknown,"<a  href=""https://krcgtv.com/news/local/mu-international-students-become-targets-for-immigration-status-changes"">Click  here</a>"
Washington University in St.  Louis,Missouri,unknown,"<a  href=""https://www.stltoday.com/news/local/education/article_62d1563d-6d95-4d1d-951d-4447c528aa71.html"">Click  here</a>"
"Webster University, St. Louis",Missouri,18,"<a  href=""https://www.stltoday.com/news/local/education/article_62d1563d-6d95-4d1d-951d-4447c528aa71.html"">Click  here</a>"
Montana State University,Montana,3,Email to <i> Inside Higher Ed </i>
University of Montana,Montana,1,"<a  href=""https://dailymontanan.com/2025/04/11/visas-revoked-for-four-international-students-at-flagship-montana-universities/"">Click  here</a>"
University of Nebraska-Lincoln,Nebraska,3,"<a href=""https://www.klkntv.com/three-university-of-nebraska-students-have-had-visas-revoked/"">Click here</a><br>"
"University of Nevada, Las  Vegas",Nevada,4,"<a  href=""https://lasvegassun.com/news/2025/apr/08/four-unlv-international-students-wrapped-up-in-tru/"">Click  here</a>"
Dartmouth College,New Hampshire,1*,"<a  href=""https://www.thedartmouth.com/article/2025/04/sharma-dartmouth-students-immigration-status-abruptly-revoked"">Click  here</a>"
New England College,New Hampshire,1,"<a  href=""https://www.fox5atlanta.com/news/17-international-students-georgia-accuse-ice-violating-due-process-visa-revocation"">Click  here</a>"
Southern New Hampshire  University,New Hampshire,unknown,"<a  href=""https://www.bostonglobe.com/2025/04/10/metro/international-students-new-hampshire-visas-revoked/"">Click  here</a>"
University of New Hampshire,New Hampshire,3,"<a  href=""https://www.wmur.com/article/unh-new-hampshire-sevis/64458256"">Click  here</a>"
Montclair State University,New Jersey,4,"<a  href=""https://www.njspotlightnews.org/video/why-were-student-visas-revoked-for-international-students-in-nj/"">Click  here</a>"
Princeton University,New Jersey,2,"<a href=""https://www.dailyprincetonian.com/article/2025/04/princeton-news-stlife-visas-revoked-grad-student-post-doc-april"">Click here</a><br>"
Rowan University,New Jersey,8,"<a  href=""https://www.nj.com/news/2025/04/feds-yank-visas-for-8-international-students-at-another-nj-college-in-alarming-trend.html"">Click  here</a>"
Rutgers University,New Jersey,14,"<a href=""https://newjerseymonitor.com/wp-content/uploads/2025/04/rutgers-ice-visa.pdf"">Click here</a>"
New  Mexico Institute of Mining and Technology,New Mexico,1,"<a  href=""https://www.abqjournal.com/news/article_7290d284-20b8-4c37-bb31-e9679217a76b.html"">Click  here</a>"
New Mexico State University,New Mexico,9,"<a  href=""https://www.krqe.com/news/education/3-more-nmsu-international-students-visas-revoked/"">Click  here</a>"
University of New Mexico,New Mexico,unknown,"<a  href=""https://www.abqjournal.com/news/article_7290d284-20b8-4c37-bb31-e9679217a76b.html"">Click  here</a>"
Binghamton University,New York,5,"<a  href=""https://www.bupipedream.com/news/at-least-five-student-visas-have-been-revoked-university-confirms/165800/"">Click  here</a>"
City University of New York,New York,17,"<a  href=""https://www.nydailynews.com/2025/04/09/trump-administration-cancels-dozens-of-student-visas-at-nyu-cuny-other-ny-schools/"">Click  here</a>"
Columbia University,New York,7,"<a  href=""https://www.columbiaspectator.com/news/2025/04/06/federal-government-terminates-visas-of-four-international-students-university-says/"">Click  here</a>"
Cornell University,New York,26,"<a href=""https://ithacavoice.org/2025/04/more-sevis-terminations-visa-revocations-hit-cornells-international-students/"">Click here</a>"
CUNY Lehman College,New York,1,"<a  href=""https://www.bxtimes.com/international-student-visas-revoked-at-lehman-college-fordham-university/"">Click  here</a><br>"
Fordham University,New York,4,"<a  href=""https://www.bxtimes.com/international-student-visas-revoked-at-lehman-college-fordham-university/"">Click  here</a><br>"
New York Institute of Tech,New York,1,"<a  href=""https://www.fox5atlanta.com/news/17-international-students-georgia-accuse-ice-violating-due-process-visa-revocation"">Click  here</a>"
New York University,New York,unknown,"<a  href=""https://nyunews.com/news/2025/04/09/immigration-status-terminated-nyu/"">Click  here</a>"
Rensselaer Polytechnic  Institute,New York,3,Email to <i> Inside Higher Ed </i>
Rochester Institute of Technology,New York,8,"<a href=""https://www.wxxinews.org/local-news/2025-04-23/rit-international-students-sue-trump-administration-over-lost-legal-status"">Click here</a>"
Siena College,New York,1,Email to <i> Inside Higher Ed </i>
St. Bonaventure  University,New York,1,"<a  href=""https://www.tapinto.net/towns/greater-olean/articles/st-bonaventure-responds-to-student-visa-revocation"">Click  here</a>"
"State University of New York,  Plattsburgh",New York,1,"<a  href=""https://www.northcountrypublicradio.org/news/story/51585/20250415/suny-plattsburgh-international-student-s-visa-revoked"">Click  here</a>"
Stony Brook University,New York,11,Email to <i> Inside Higher Ed </i>
Syracuse University,New York,3,"<a href=""https://www.syracuse.com/politics/cny/2025/04/trump-administration-revokes-visas-of-3-syracuse-university-students-without-warning.html"">Click here</a><br>"
The Juilliard School,New York,1,"<a  href=""https://operawire.com/office-of-the-provost-of-juilliard-confirms-the-one-student-has-f-1-visa-revoked/"">Click  here</a>"
The New School,New York,4,Email to <i> Inside Higher Ed </i>
"University  at Buffalo, State University of New York",New York,13,"<a  href=""https://www.ubspectrum.com/article/2025/04/ice-cancels-13-ub-students-visas"">Click  here</a>"
University  of Rochester,New York,11,"<a  href=""https://spectrumlocalnews.com/nys/rochester/news/2025/04/09/nearly-a-dozen-u-of-r-students--recent-grads-have-student-visas-revoked"">Click  here</a>"
"University at Albany, State  University of New York",New York,4,"<a href=""https://www.albanystudentpress.online/post/four-ualbany-student-visas-terminated-according-to-university-spokesperson"">Click here</a><br>"
Appalachian  State University,North Carolina,1,"<a  href=""https://www.wataugademocrat.com/news/asu_news/federal-government-revokes-visa-of-app-state-international-student/article_a07339e3-44f9-401d-9609-6f3e58db178b.html"">Click  here</a>"
Duke University,North Carolina,3,"<a  href=""https://www.wunc.org/politics/2025-04-08/u-s-government-revokes-visas-international-duke-university-students-alumnus"">Click  here</a>"
North Carolina State  University,North Carolina,2,"<a  href=""https://www.carolinajournal.com/two-nc-state-students-leave-us-after-visas-terminated/"">Click  here</a>"
"University  of North Carolina, Chapel Hill",North Carolina,6,"<a  href=""https://x.com/koriedean/status/1909716002528506075"">Click  here</a>"
"University  of North Carolina, Charlotte",North Carolina,6,"<a  href=""https://www.wcnc.com/article/news/education/unc-charlotte-student-visas-revoked-travel-restrictions-federal-government/275-ecafe32a-6adf-415e-b6d7-509c18bf5f58"">Click  here</a>"
"University of North Carolina,  Greensboro",North Carolina,2,"<a  href=""https://www.wfmynews2.com/article/news/education/unc-greensboro-international-students-visas-revoked/83-992bdae5-99c7-428d-8941-1ba0c9a22176"">Click  here</a>"
North Dakota State University,North Dakota,1,"<a  href=""https://www.wdayradionow.com/news/local-news/ndsu-students-visa-revoked/"">Click  here</a>"
Bowling Green State University,Ohio,1,"<a  href=""https://www.13abc.com/2025/04/09/some-international-utoledo-students-have-visas-revoked/#"">Click  here</a>"
Case Western Reserve  University,Ohio,4,"<a  href=""https://www.news5cleveland.com/news/local-news/4-case-western-reserve-university-students-visas-revoked#google_vignette"">Click  here</a>"
Cleveland State University,Ohio,1,"<a  href=""https://www.news5cleveland.com/sports/college-sports/cleveland-state/csu-students-visa-revoked-without-explanation#google_vignette"">Click  here</a>"
Columbus State Community College,Ohio,1,"<a href=""https://www.cleveland.com/news/2025/04/ohio-visa-revocations-reach-61-international-students-across-14-colleges.html"">Click here</a>"
Cuyahoga Community College,Ohio,3,"<a href=""https://www.cleveland.com/news/2025/04/ohio-visa-revocations-reach-61-international-students-across-14-colleges.html"">Click here</a>"
Kent State University,Ohio,10,"<a  href=""https://www.cleveland.com/politics/2025/04/ohio-colleges-mum-on-details-as-dozens-of-international-students-face-visa-revocations.html"">Click  here</a><br>"
Ohio State University,Ohio,12,"<a  href=""https://www.cleveland.com/politics/2025/04/ohio-colleges-mum-on-details-as-dozens-of-international-students-face-visa-revocations.html"">Click  here</a><br>"
Sinclair College,Ohio,3,"<a href=""https://www.cleveland.com/news/2025/04/ohio-visa-revocations-reach-61-international-students-across-14-colleges.html"">Click here</a>"
University of Akron,Ohio,2,"<a  href=""https://signalakron.org/2-international-students-at-university-of-akron-have-visas-revoked-by-trump-administration/"">Click  here</a>"
University of Cincinnati,Ohio,1,"<a  href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.447923/gov.uscourts.cand.447923.1.0.pdf"">Click  here</a><br>"
University of Findlay,Ohio,3,Email to <i> Inside Higher Ed </i>
University of Toledo,Ohio,“a small number”,"<a  href=""https://www.13abc.com/2025/04/09/some-international-utoledo-students-have-visas-revoked/"">Click  here</a>"
Walsh University,Ohio,4,"<a  href=""https://www.cantonrep.com/story/news/education/2025/04/09/4-international-students-at-walsh-university-have-visas-revoked/83012875007/"">Click  here</a>"
Xavier University,Ohio,1,"<a  href=""https://www.wcpo.com/news/education/higher-education/xu-news/xavier-at-least-one-international-students-visa-has-been-revoked"">Click  here</a>"
Youngstown State University,Ohio,14,"<a href=""https://businessjournaldaily.com/ysu-supports-international-students-whose-visas-were-revoked/"">Click here</a>"
Oklahoma Christian University,Oklahoma,2,"<a  href=""https://kfor.com/news/local/several-osu-uco-student-visas-revoked-by-federal-government/"">Click  here</a>"
Oklahoma State University,Oklahoma,8,"<a  href=""https://www.ocolly.com/news/osu/u-s-government-revokes-8-osu-international-students-visas/article_314dbd1b-a693-4a6e-8e06-a4ce99005ca1.html"">Click  here</a>"
University of Central Oklahoma,Oklahoma,4,"<a  href=""https://www.koco.com/article/oklahoma-state-osu-uco-student-visas-revoked/64423584"">Click  here</a>"
Oregon State University,Oregon,13,"<a  href=""https://www.koin.com/news/oregon/international-students-osu-face-deportation-revoked-visas-dhs-04102025/"">Click  here</a>"
Portland Community College,Oregon,3,"<a href=""https://katu.com/news/local/three-students-at-portland-community-college-have-visas-revoked"">Click here</a>"
Portland State University,Oregon,3,"<a href=""https://www.koin.com/news/oregon/international-students-osu-face-deportation-revoked-visas-dhs-04102025/"">Click here</a><br>"
University of Oregon,Oregon,4,"<a  href=""https://www.kgw.com/article/news/education/university-of-oregon-student-visas-revoked-homeland-security/283-7a3eadca-1138-466c-9272-677a8e5eb492"">Click  here</a>"
Carnegie Mellon University,Pennsylvania,7,"<a  href=""https://www.post-gazette.com/news/education/2025/04/08/trump-admin-revokes-cmu-international-student-visas/stories/202504080055"">Click  here</a>"
Gannon University,Pennsylvania,5,"<a  href=""https://www.goerie.com/story/news/education/2025/04/11/gannon-university-students-visas-revoked-state-department/83022593007"">Click  here</a>"
La Roche University,Pennsylvania,1,"<a href=""https://community.triblive.com/news/3780390"">Click here</a>"
Lehigh University,Pennsylvania,unknown,"<a  href=""https://www.wfmz.com/news/area/lehighvalley/lehigh-u-international-students-among-those-with-visas-revoked/article_fa873821-83e6-4011-8b9b-eeb15f7dbdd6.html"">Click  here</a>"
Millersville University,Pennsylvania,“very small”,"<a href=""https://oneunitedlancaster.com/government/millersville-university-president-releases-statement-amid-uncertainty-for-international-students/"">Click here</a><br>"
Pennsylvania State University,Pennsylvania,unknown,"<a  href=""https://www.psucollegian.com/news/campus/several-penn-state-international-students-have-visas-revoked/article_254570cf-9dff-4a67-88b1-b4705134a953.html"">Click  here</a>"
Temple University,Pennsylvania,5,"<a  href=""https://www.inquirer.com/news/temple-university-student-visas-federal-funding-trump-20250415.html"">Click  here</a><br>"
University of  Pennsylvania,Pennsylvania,8,"<a  href=""https://www.thedp.com/article/2025/04/penn-visas-update-revocation-numbers"">Click  here</a><br>"
University of Pittsburgh,Pennsylvania,3,"<a  href=""https://www.wpxi.com/news/local/university-pittsburgh-student-2-recent-graduates-have-visas-revoked/AJ3EHUMPSRCVLKX5R53EDWMNBA/"">Click  here</a>"
Brown University,Rhode Island,unknown,"<a  href=""https://www.browndailyherald.com/article/2025/04/trump-administration-revokes-visas-from-at-least-one-brown-student-several-recent-graduates"">Click  here</a>"
Rhode Island School of Design,Rhode Island,1,"<a  href=""https://www.browndailyherald.com/article/2025/04/one-risd-international-student-has-visa-revoked"">Click  here</a>"
Clemson University,South Carolina,unknown,"<a href=""https://scdailygazette.com/2025/04/19/usc-student-sues-over-terminated-student-visa-status/"">Click here</a>"
Furman University,South Carolina,2,"<a  href=""https://www.postandcourier.com/education-lab/usc-visa-revoked-international-student-trump/article_5cca9a52-6976-40d8-b0d7-5332bbcd44a0.html"">Click  here</a>"
University of South Carolina,South Carolina,12,"<a href=""https://scdailygazette.com/2025/04/19/usc-student-sues-over-terminated-student-visa-status/"">Click here</a>"
Black Hills State University,South Dakota,unknown,"<a href=""https://www.keloland.com/keloland-com-original/about-12-student-visa-cancellations-reported-in-sd/"">Click here</a>"
South Dakota School of Mines and Technology,South Dakota,1,"<a href=""https://rapidcityjournal.com/news/local/crime-courts/article_aa00b0f6-a501-47c4-8930-07b3296448e2.html"">Click here</a><br>"
South Dakota State University,South Dakota,unknown,"<a href=""https://www.keloland.com/keloland-com-original/about-12-student-visa-cancellations-reported-in-sd/"">Click here</a>"
Christian Brothers University,Tennessee,10,"<a href=""https://dailymemphian.com/subscriber/article/51310/university-of-memphis-christian-brothers-university-students-told-to-leave-folo"">Click here</a><br>"
Middle Tennessee State  University,Tennessee,6,"<a  href=""https://www.tennessean.com/story/news/education/2025/04/11/middle-tennessee-state-university-six-students-had-visas-revoked/83051654007/"">Click  here</a>"
University of Memphis,Tennessee,5,"<a  href=""https://www.commercialappeal.com/story/news/education/2025/04/16/university-of-memphis-students-visas-revoked/83128612007/"">Click  here</a><br>"
"University of Tennessee,  Knoxville",Tennessee,4,"<a  href=""https://www.knoxnews.com/story/news/education/2025/04/04/university-of-tennessee-students-worker-risk-deportation-change-immigration-status/82880464007/"">Click  here</a>"
Baylor University,Texas,3,Email to <i> Inside Higher Ed </i>
Collin College,Texas,7,"<a href=""https://www.dallasnews.com/news/education/2025/04/09/texas-college-university-students-visas-revoked-trump-administration/"">Click here</a>"
Dallas College,Texas,34,"<a href=""https://www.dallasnews.com/news/education/2025/04/09/texas-college-university-students-visas-revoked-trump-administration/"">Click here</a>"
El Paso Community College,Texas,2,"<a  href=""https://kfoxtv.com/news/local/el-paso-community-college-confirms-visa-revocation-for-two-students"">Click  here</a>"
Houston Community College,Texas,12,"<a href=""https://www.houstonchronicle.com/news/houston-texas/education/article/visa-revoke-student-community-college-20282886.php"">Click here</a><br>"
Lamar University,Texas,5,"<a  href=""https://kfdm.com/news/local/lamar-university-addresses-visa-revocation-for-five-students"">Click  here</a>"
Prairie View A&M  University,Texas,1,"<a  href=""https://lailluminator.com/briefs/trump-administration-terminates-14-student-visas-in-louisiana/"">Click  here</a>"
Rice University,Texas,5,"<a  href=""https://president.rice.edu/communications/support-our-international-students"">Click  here</a>"
San Jacinto College,Texas,6,"<a href=""https://www.houstonchronicle.com/news/houston-texas/education/article/visa-revoke-student-community-college-20282886.php"">Click here</a><br>"
Southern Methodist University,Texas,unknown,"<a  href=""https://www.dallasnews.com/news/education/2025/04/11/map-see-where-international-students-in-texas-had-visas-revoked/"">Click  here</a>"
Tarrant County College,Texas,5,"<a  href=""https://collegian.tccd.edu/53045/news/five-tcc-students-have-visas-revoked/"">Click  here</a><br>"
Texas A&M International  University,Texas,1,"<a  href=""https://www.kristv.com/news/texas-news/more-than-250-international-students-across-texas-universities-have-immigration-statuses-revoked"">Click  here</a>"
Texas A&M University,Texas,23,"<a  href=""https://www.nbcnews.com/news/us-news/visas-revoked-students-universities-southern-states-crackdown-rcna201019"">Click  here</a>"
Texas A&M University  Corpus Christi,Texas,3,"<a  href=""https://www.kristv.com/news/texas-news/more-than-250-international-students-across-texas-universities-have-immigration-statuses-revoked"">Click  here</a>"
Texas A&M University  Kingsville,Texas,9,"<a  href=""https://www.kristv.com/news/texas-news/more-than-250-international-students-across-texas-universities-have-immigration-statuses-revoked"">Click  here</a>"
Texas A&M University  Texarkana,Texas,1,"<a  href=""https://www.kristv.com/news/texas-news/more-than-250-international-students-across-texas-universities-have-immigration-statuses-revoked"">Click  here</a>"
Texas State University,Texas,2,Email to <i> Inside Higher Ed </i>
Texas Tech University,Texas,3,"<a  href=""https://www.lubbockonline.com/story/news/education/2025/04/09/texas-tech-univesrity-confirms-international-students-visas-revoked-amid-growing-national-trend/83010673007/"">Click  here</a>"
Texas Wesleyan University,Texas,4,"<a href=""https://www.dallasnews.com/news/education/2025/04/09/texas-college-university-students-visas-revoked-trump-administration/"">Click here</a>"
Texas Women's University,Texas,4,"<a  href=""https://www.houstonpublicmedia.org/articles/news/politics/immigration/2025/04/10/518405/a-small-number-of-uh-students-impacted-as-student-visas-and-immigration-statuses-are-revoked-nationwide/"">Click  here</a>"
"University  of Texas, Rio Grande Valley",Texas,9,"<a  href=""https://www.krgv.com/news/visas-revoked-for-9-utrgv-international-students-university-says/"">Click  here</a>"
University of Houston,Texas,unknown,"<a  href=""https://www.houstonpublicmedia.org/articles/news/politics/immigration/2025/04/10/518405/a-small-number-of-uh-students-impacted-as-student-visas-and-immigration-statuses-are-revoked-nationwide/"">Click  here</a>"
University of North Texas,Texas,27,"<a  href=""https://www.dallasnews.com/news/education/2025/04/09/texas-college-university-students-visas-revoked-trump-administration/"">Click  here</a>"
University of Texas at San  Antonio,Texas,4,"<a  href=""https://news4sanantonio.com/news/local/utsa-students-have-visa-statuses-terminated-by-homeland-security-university-says"">Click  here</a>"
University of Texas System,Texas,170,"<a href=""https://t.co/NsvbWAPKPe"">Click here</a>"
"University of Texas, Arlington",Texas,27,"<a  href=""https://www.fox4news.com/news/student-visas-revoked-in-north-texas"">Click  here</a>"
"University of Texas, Austin",Texas,2,"<a  href=""https://news4sanantonio.com/news/local/universities-report-sudden-student-visa-revocations-by-department-of-homeland-security"">Click  here</a>"
"University of Texas, Dallas",Texas,19,"<a  href=""https://www.dallasnews.com/news/education/2025/04/09/texas-college-university-students-visas-revoked-trump-administration/"">Click  here</a>"
"University of Texas, El Paso",Texas,10,"<a  href=""https://kfoxtv.com/news/local/10-utep-students-have-their-student-visas-revoked-by-dhs"">Click  here</a>"
"Webster University, San  Antonio",Texas,6,"<a  href=""https://www.stltoday.com/news/local/education/article_62d1563d-6d95-4d1d-951d-4447c528aa71.html"">Click  here</a>"
Salt Lake Community College,Utah,3,"<a  href=""https://www.fox13now.com/news/local-news/dozens-of-utah-university-students-have-visas-revoked-by-trump-administration"">Click  here</a>"
Snow College,Utah,2,"<a  href=""https://www.sltrib.com/news/education/2025/04/08/trump-admin-revokes-visas-17/"">Click  here</a>"
Southern Utah University,Utah,9,"<a  href=""https://www.fox13now.com/news/local-news/dozens-of-utah-university-students-have-visas-revoked-by-trump-administration"">Click  here</a>"
University of Utah,Utah,20,"<a  href=""https://www.fox13now.com/news/local-news/dozens-of-utah-university-students-have-visas-revoked-by-trump-administration"">Click  here</a>"
Utah State University,Utah,“very low number”,"<a  href=""https://www.hjnews.com/news/education/usu-confirms-revocation-of-international-students-visas-termination-of-sevis-records/article_a2182748-a59e-4020-9d34-201881c86701.html"">Click  here</a>"
Utah Tech University,Utah,9,"<a  href=""https://www.ksl.com/article/51291888/multiple-utah-colleges-report-student-visas-being-revoked-without-notice"">Click  here</a>"
Utah Valley University,Utah,3,"<a  href=""https://www.fox13now.com/news/local-news/dozens-of-utah-university-students-have-visas-revoked-by-trump-administration"">Click  here</a>"
Weber State University,Utah,5,"<a  href=""https://www.sltrib.com/news/education/2025/04/08/trump-admin-revokes-visas-17/"">Click  here</a>"
Middlebury College,Vermont,1,"<a href=""https://vtdigger.org/2025/04/17/u-s-revokes-a-lawful-international-students-visa-at-middlebury-college/"">Click here></a><br>"
George Mason University,Virginia,15,"<a  href=""https://www.axios.com/local/richmond/2025/04/11/trump-student-visa-crackdown-virginia"">Click  here</a>"
University of Virginia,Virginia,3,"<a  href=""https://federalinfo.virginia.edu/?utm_source=VirginiaFeatured&utm_medium=referral&utm_campaign=news"">Click  here</a><br>"
Virginia  Polytechnic Institute and State University,Virginia,9,"<a  href=""https://news.vt.edu/articles/2025/04/president-message-visas.html"">Click  here</a>"
Virginia Commonwealth  University,Virginia,3,"<a  href=""https://massmail.vcu.edu/list/250411A_0/8q63sdsc23jz.vib?a1=c3dun3xj&a4=bosworthk%40apps.vcu.edu&a3=18920&a2=bosworthk%40APPS.VCU.EDU&a0=7504&a5=4784587&ssq=4784587"">Click  here</a>"
Central Washington University,Washington,2,"<a href=""https://www.yakimaherald.com/news/northwest/feds-revoke-visas-of-2-cwu-international-students/article_fe9d56bc-156a-5745-a937-69713255e4f7.html"">Click here</a>"
Gonzaga University,Washington,2,"<a  href=""https://www.spokesman.com/stories/2025/apr/07/two-gonzaga-students-visas-were-revoked-amid-trump/"">Click  here</a>"
Seattle Central College,Washington,1,"<a href=""https://www.seattletimes.com/seattle-news/law-justice/wa-international-students-file-class-action-over-trump-revocations/"">Click here</a>"
Seattle University,Washington,6,"<a href=""https://www.kuow.org/stories/state-department-revokes-university-of-washington-student-visas"">Click here</a><br>"
Shoreline Community College,Washington,3,"<a href=""https://theebbtide.com/news/three-scc-students-visas-revoked/04/2025/"">Click here</a>"
University of Washington,Washington,23,"<a  href=""https://www.kiro7.com/news/local/number-uw-students-visas-revoked-increases-23/AJX2IEJMFVGMRK5YAIU3PP2VHQ/"">Click  here</a><br>"
"University of Washington,  Tacoma",Washington,2,"<a  href=""https://www.thenewstribune.com/news/local/article304312351.html"">Click  here</a><br>"
Washington  State University,Washington,3,"<a  href=""https://www.khq.com/news/visa-revocations-impact-wsu-international-students-amid-federal-changes/article_03949b60-da33-4eab-87a4-b16cf356dd63.html"">Click  here</a><br>"
Marshall University,West Virginia,1,Email to <i>Inside Higher Ed </i>
West Virginia University,West Virginia,9,"<a  href=""https://www.thedaonline.com/news/university/wvu-confirms-9-student-visa-revocations/article_c148b488-4821-4bc7-8f18-e9500a7b9a36.html"">Click  here</a>"
Concordia University Wisconsin,Wisconsin,10,"<a  href=""https://www.jsonline.com/story/news/education/2025/04/10/trump-administration-terminates-more-uw-madison-student-visas/83022953007/"">Click  here</a>"
Madison Area Technical College,Wisconsin,1,"<a  href=""https://www.theonlineclarion.com/top-stories/2025/04/10/madison-college-student-visa-revoked/"">Click  here</a>"
Marquette University,Wisconsin,1,"<a  href=""https://www.jsonline.com/story/news/education/2025/04/10/trump-administration-terminates-more-uw-madison-student-visas/83022953007/"">Click  here</a>"
"University  of Wisconsin, Milwaukee",Wisconsin,13,"<a  href=""https://www.cbs58.com/news/marquette-grad-students-visa-revoked-judge-puts-pause-on-uw-students-deportation"">Click  here</a><br>"
"University of Wisconsin,  Madison",Wisconsin,14,"<a  href=""https://news.wisc.edu/update-on-federal-immigration-enforcement/"">Click  here</a>"
University of Wyoming,Wyoming,“a few”,"<a href=""https://cowboystatedaily.com/2025/04/15/university-of-wyoming-international-students-have-visas-revoked/"">Click here</a><br>"